    "A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"
"1005"	0.08903	0.09471	0.08728	0.13306	0.13794	0.10492	0.11279	0.11583	0.11914	0.11658
"1012.5"	0.1175	0.12467	0.08931	0.11801	0.14391	0.14325	0.11568	0.11526	0.11693	0.16151
"1020"	0.11164	0.13452	0.12107	0.09367	0.12245	0.13193	0.11741	0.13829	0.09794	0.09835
"1027.5"	0.08446	0.07747	0.10756	0.10923	0.10892	0.14364	0.0803	0.12376	0.13506	0.11463
"1035"	0.09937	0.10013	0.09604	0.12665	0.10589	0.14221	0.14208	0.09384	0.11883	0.12916
"1042.5"	0.12579	0.09853	0.06616	0.11877	0.10315	0.10577	0.08331	0.12387	0.10034	0.14899
"1050"	0.13626	0.06904	0.09389	0.09362	0.07601	0.09008	0.10836	0.08647	0.10994	0.12162
"1057.5"	0.07737	0.10531	0.09472	0.08341	0.10476	0.08812	0.07894	0.13195	0.11583	0.1088
"1065"	0.07418	0.07884	0.10247	0.1212	0.12062	0.07498	0.10812	0.11027	0.10811	0.0905
"1072.5"	0.11381	0.08851	0.09934	0.13403	0.08468	0.06079	0.08875	0.11171	0.09587	0.08703
"1080"	0.08032	0.08175	0.10597	0.07306	0.09188	0.07341	0.08821	0.1013	0.12674	0.08797
