    "A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"
"1005"	13.49146	13.56059	13.14604	28.23637	34.13464	21.13275	25.35561	20.31727	25.78766	22.13222
"1012.5"	12.6164	12.6522	11.51513	23.93962	30.80289	18.79857	21.98855	18.54252	23.50916	19.60106
"1020"	12.08127	12.1678	10.63732	20.50052	26.93287	17.55333	19.56839	17.19206	20.75138	17.71441
"1027.5"	11.24205	11.52003	10.01848	18.94387	22.81226	16.58555	18.55291	16.35356	19.41974	17.04101
"1035"	10.73554	10.84986	9.726617	16.56242	20.45636	15.79494	17.58529	15.5484	17.98685	15.91497
"1042.5"	10.38698	10.39631	9.41637	15.46695	18.95648	15.28515	16.94831	14.88598	17.06212	15.38392
"1050"	10.51725	10.17947	8.94753	14.75285	18.11551	14.56556	15.97603	14.30699	16.23234	14.75755
"1057.5"	10.2623	9.843614	8.828315	13.84938	17.12741	13.59546	15.2665	13.64332	15.60807	14.11192
"1065"	9.907857	9.46112	8.621454	13.31024	16.72821	13.18831	14.50401	13.07595	15.00392	13.41223
"1072.5"	9.807914	9.408866	8.506171	12.93848	15.38744	13.03545	13.88095	12.30066	14.52395	12.93994
"1080"	9.585129	9.057871	8.405781	12.60327	14.92283	12.67282	13.44322	11.84807	14.12384	12.49916
