    "A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"
"1005"	1.05E-6	1E-6	1.08E-06	1.34E-6	1.43E-6	1.3E-6	1.36E-6	1.31E-6	1.37E-6	1.3E-6
"1012.5"	1.05E-6	9.94E-7	1.07E-06	1.34E-6	1.43E-6	1.29E-6	1.35E-6	1.3E-6	1.36E-6	1.29E-6
"1020"	1.04E-6	9.88E-7	1.07E-06	1.34E-6	1.43E-6	1.29E-6	1.34E-6	1.29E-6	1.35E-6	1.28E-6
"1027.5"	1.03E-6	9.82E-7	1.06E-06	1.33E-6	1.42E-6	1.28E-6	1.33E-6	1.28E-6	1.34E-6	1.27E-6
"1035"	1.02E-6	9.74E-7	1.05E-06	1.33E-6	1.42E-6	1.26E-6	1.31E-6	1.26E-6	1.32E-6	1.26E-6
"1042.5"	1.01E-6	9.67E-7	1.05E-06	1.33E-6	1.41E-6	1.25E-6	1.3E-6	1.25E-6	1.31E-6	1.24E-6
"1050"	1.01E-6	9.6E-7	1.04E-06	1.32E-6	1.4E-6	1.24E-6	1.29E-6	1.24E-6	1.29E-6	1.23E-6
"1057.5"	9.96E-7	9.51E-7	1.03E-06	1.31E-6	1.38E-6	1.23E-6	1.27E-6	1.22E-6	1.28E-6	1.22E-6
"1065"	9.86E-7	9.43E-7	1.02E-06	1.3E-6	1.37E-6	1.21E-6	1.26E-6	1.2E-6	1.26E-6	1.2E-6
"1072.5"	9.76E-7	9.34E-7	1.01E-06	1.29E-6	1.35E-6	1.19E-6	1.24E-6	1.19E-6	1.25E-6	1.18E-6
"1080"	9.65E-7	9.26E-7	1.00E-06	1.27E-6	1.34E-6	1.18E-6	1.22E-6	1.17E-6	1.23E-6	1.17E-6
