    "A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"
"1005"	0.32599	0.22734	0.28975	0.24917	0.20581	0.29367	0.22083	0.26061	0.23247	0.18535
"1012.5"	0.24303	0.23433	0.2436	0.24275	0.20431	0.23352	0.22131	0.27249	0.22335	0.17775
"1020"	0.22531	0.27238	0.25522	0.2602	0.20394	0.23516	0.21587	0.22084	0.22572	0.2223
"1027.5"	0.31406	0.25259	0.2618	0.30953	0.26723	0.28329	0.21685	0.27772	0.23066	0.19455
"1035"	0.2265	0.18325	0.2339	0.26619	0.28004	0.27847	0.21087	0.20094	0.20146	0.23939
"1042.5"	0.22356	0.23155	0.24816	0.23099	0.22899	0.23163	0.23592	0.19752	0.21348	0.23196
"1050"	0.29002	0.29572	0.21957	0.24688	0.23752	0.3099	0.23063	0.22685	0.20113	0.21029
"1057.5"	0.28203	0.15587	0.2275	0.29255	0.25744	0.24679	0.23284	0.1713	0.19252	0.22706
"1065"	0.25476	0.21991	0.2724	0.25042	0.27341	0.2465	0.19459	0.23377	0.21121	0.20718
"1072.5"	0.14342	0.23685	0.23107	0.20647	0.24653	0.27475	0.25614	0.23504	0.28037	0.15571
"1080"	0.2151	0.2243	0.19086	0.30586	0.22686	0.23843	0.23847	0.1903	0.20817	0.25351
