    "A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"
"1005"	0.58497	0.67796	0.62297	0.61777	0.65625	0.60141	0.66638	0.62356	0.64839	0.69807
"1012.5"	0.63946	0.641	0.66709	0.63923	0.65178	0.62322	0.663	0.61225	0.65971	0.66073
"1020"	0.66306	0.5931	0.62371	0.64613	0.67361	0.63291	0.66673	0.64087	0.67634	0.67935
"1027.5"	0.60148	0.66994	0.63064	0.58123	0.62385	0.57307	0.70285	0.59852	0.63428	0.69083
"1035"	0.67414	0.71661	0.67006	0.60716	0.61408	0.57932	0.64704	0.70522	0.67971	0.63145
"1042.5"	0.65065	0.66993	0.68568	0.65024	0.66786	0.6626	0.68077	0.67862	0.68618	0.61905
"1050"	0.57372	0.63523	0.68654	0.6595	0.68647	0.60002	0.66101	0.68668	0.68893	0.66809
"1057.5"	0.6406	0.73882	0.67777	0.62404	0.63779	0.66509	0.68822	0.69675	0.69164	0.66414
"1065"	0.67107	0.70124	0.62513	0.62838	0.60597	0.67853	0.69729	0.65597	0.68067	0.70233
"1072.5"	0.74277	0.67463	0.66959	0.6595	0.66879	0.66446	0.65511	0.65325	0.62375	0.75726
"1080"	0.70458	0.69394	0.70317	0.62109	0.68126	0.68817	0.67332	0.7084	0.6651	0.65853
